"證券名稱","證券代碼","殖利率","本益比","股價淨值比","CAPM_Beta.一年"
"GIS-KY","6456",3.88,9.01,1.19,1.3457
"jpp-KY","5284",5.93,15.33,0.75,0.8121
"一零四","3130",5.75,17.4,3.34,0.5288
"乙盛-KY","5243",6.39,9.51,0.81,1.3012
"力山","1515",4.84,8.84,3.28,1.1081
"力成","6239",4.56,13.13,1.78,1.0268
"力達-KY","4552",5.68,9.3,0.69,1.2394
"力麗","1444",5.77,115.5,0.64,0.8759
"十銓","4967",2.43,342.5,2.56,1.2841
"卜蜂","1215",4.88,11.26,2.08,0.597
"三芳","1307",4.18,17.73,0.92,0.789
"三星","5007",4.38,16.5,2.15,0.3482
"三洋電","1614",3.02,28.95,1.37,0.6373
"三能-KY","6671",8.32,11.59,1.36,0.438
"三商","2905",9.37,4.76,0.92,1.0345
"三商電","2427",3.5,15.87,0.84,0.3455
"三發地產","9946",6.64,2.85,0.67,0.988
"三陽工業","2206",5.19,7.1,1.13,0.3061
"三福化","4755",5.75,12.15,1.25,0.6361
"上海商銀","5876",5.05,12.38,1.18,1.1379
"上福","6128",8.56,10.16,1.03,0.517
"上銀","2049",3.07,39.47,3.1,1.6834
"上緯投控","3708",6.09,7.32,1.18,1.1487
"士電","1503",3.92,12.71,0.88,0.4032
"大山","1615",6.99,8.85,1.19,0.6553
"大台北","9908",3.7,17.68,1.36,0.4762
"大立光","3008",1.82,16.76,3.77,1.57
"大成","1210",5.53,13.63,1.71,0.5728
"大成鋼","2027",4.72,16.28,1.16,0.6594
"大亞","1609",7.53,10.81,0.77,1.048
"大洋-KY","5907",8.09,6.76,0.46,1.1203
"大統益","1232",4.33,18.97,4.55,0.7139
"大統新創","1470",4.05,22.44,1.72,0.4824
"大華","9905",5,12.82,0.88,0.6464
"大量","3167",5.05,17.84,1.76,0.7761
"大億","1521",7.19,11.75,2.23,0.728
"大毅","2478",3.23,28.46,2.11,1.6176
"大聯大","3702",7.24,10.87,1.1,0.8005
"大豐電","6184",7.34,12.05,1.44,0.3534
"山林水","8473",6.43,17.61,0.94,0.7869
"山隆","2616",6.17,13.62,0.99,0.3092
"川飛","1516",3.04,32.13,1.12,0.423
"川湖","2059",2.74,17.86,2.6,0.5
"中工","2515",2.99,33.5,0.52,0.8582
"中化","1701",4.02,15.43,1,0.1594
"中化生","1762",1.9,27.81,1.62,0.4276
"中石化","1314",3.97,12.39,0.32,0.8731
"中再保","2851",5.17,9.3,0.85,0.6619
"中宇","1535",3.8,30.68,1.32,0.764
"中和","1439",13.77,3.47,1.19,0.7203
"中保科","9917",4.58,18.02,3.59,0.4656
"中信金","2891",5.38,8.69,0.98,0.8707
"中砂","1560",6.26,14.67,1.84,0.8915
"中租-KY","5871",5.07,8.47,1.88,1.4553
"中航","2612",3.43,14.24,0.46,0.9537
"中揚光","6668",1.37,33.45,2.17,1.6888
"中華化","1727",2.16,30.8,0.7,0.7687
"中華電","2412",3.9,25.65,2.24,0.1994
"中電","1611",9.56,5.89,0.92,0.4399
"中鼎","9933",6.53,19.9,1.45,0.6934
"中壽","2823",6.23,6.31,0.6,1.2118
"中碳","1723",5.19,17.29,3.2,0.6788
"中磊","5388",4.29,16.87,2.27,0.9073
"中興電","1513",5,15.48,1.3,0.7303
"中鋼","2002",2.61,33.6,0.98,0.6538
"中鋼構","2013",4,24.7,0.91,0.9407
"中環","2323",2.68,37.25,0.45,1.1701
"中聯資源","9930",4.67,13.05,2.06,0.6643
"中鴻","2014",1.46,686,0.68,1.2637
"中櫃","2613",1.32,49.42,0.58,0.5825
"互盛電","2433",7.5,11.96,1.75,0.6233
"五鼎","1733",4.76,20.26,1.38,0.9233
"仁寶","2324",6.47,11.59,0.76,0.6374
"允強","2034",6.67,14.71,1.23,0.6306
"元大金","2885",6.52,9.2,0.81,1.1095
